X,Y,施設名,施設名かな,所在地,地区名,TEL,FAX,詳細情報,URL,小分類,施設ID,コード,H27生徒数,H23生徒数
135.490694,34.65823525,大阪市立栄小学校,おおさかしりつさかえしょうがっこう,浪速区浪速東１－１－６１,浪速区,06-6568-5855,,,http://swa.city-osaka.ed.jp/swas/index.php?id=e611301,小学校,2668,16101,157,130
135.497133,34.66517208,大阪市立難波元町小学校,おおさかしりつなんばもとまちしょうがっこう,浪速区元町1-5-30,浪速区,06-6632-5668,,,http://swa.city-osaka.ed.jp/swas/index.php?id=e611302,小学校,2611,16102,144,141
135.4965111,34.653494,大阪市立大国小学校,おおさかしりつだいこくしょうがっこう,浪速区大国1-9-3,浪速区,06-6631-0171,,,http://swa.city-osaka.ed.jp/swas/index.php?id=e611303,小学校,2624,16103,152,135
135.5027473,34.65296086,大阪市立恵美小学校,おおさかしりつえみしょうがっこう,浪速区恵美須西2-13-9,浪速区,06-6643-1212,,,http://swa.city-osaka.ed.jp/swas/index.php?id=e611304,小学校,2606,16104,101,126
135.5082692,34.65814711,大阪市立日東小学校,おおさかしりつにっとうしょうがっこう,浪速区日本橋東3-1-23,浪速区,06-6632-7046,,,http://swa.city-osaka.ed.jp/swas/index.php?id=e611305,小学校,2646,16105,268,217
135.5067971,34.66220294,大阪市立日本橋小学校,おおさかしりつにっぽんばししょうがっこう,浪速区日本橋3-2-27,浪速区,06-6641-0544,,,http://swa.city-osaka.ed.jp/swas/index.php?id=e611306,小学校,2634,16106,38,49
135.4988079,34.65598317,大阪市立敷津小学校,おおさかしりつしきつしょうがっこう,浪速区敷津東3-9-32,浪速区,06-6641-0101,,,http://swa.city-osaka.ed.jp/swas/index.php?id=e611307,小学校,2661,16107,272,90
135.490589,34.66141897,大阪市立塩草立葉小学校,おおさかしりつしおくさたてばしょうがっこう,浪速区塩草1-4-31,浪速区,06-6561-3095,,,http://swa.city-osaka.ed.jp/swas/index.php?id=e61130803,小学校,2591,16107,117,183
,,大阪市立萩之茶屋小学校,,,西成区,,,,,小学校,,17600,0,66
,,大阪市立今宮小学校,,,西成区,,,,,小学校,,17600,0,133
135.5013472,34.63714219,大阪市立天下茶屋小学校,おおさかしりつてんがちゃやしょうがっこう,西成区聖天下1-11-35,西成区,06-6661-8741,06-6661-7198,,http://swa.city-osaka.ed.jp/swas/index.php?id=e761752,小学校,4915,17601,262,297
135.4915612,34.63387492,大阪市立岸里小学校,おおさかしりつきしのさとしょうがっこう,西成区千本中1-8-22,西成区,06-6659-2574,06-6659-2069,,http://swa.city-osaka.ed.jp/swas/index.php?id=e761753,小学校,4910,17602,417,438
135.4917748,34.62482186,大阪市立玉出小学校,おおさかしりつたまでしょうがっこう,西成区玉出中2-13-56,西成区,06-6659-2000,06-6659-2091,,http://swa.city-osaka.ed.jp/swas/index.php?id=e761754,小学校,4909,17603,315,298
135.4883859,34.631503,大阪市立千本小学校,おおさかしりつせんぼんしょうがっこう,西成区千本中2-8-8,西成区,06-6651-6454,06-6651-2644,,http://swa.city-osaka.ed.jp/swas/index.php?id=e761755,小学校,4911,17604,453,474
135.4914999,34.63907789,大阪市立橘小学校,おおさかしりつたちばなしょうがっこう,西成区橘2-1-18,西成区,06-6651-0456,06-6651-2752,,http://swa.city-osaka.ed.jp/swas/index.php?id=e761756,小学校,4906,17605,311,350
135.489003,34.64243106,大阪市立梅南津守小学校,おおさかしりつばいなんつもりしょうがっこう,西成区梅南3-2-25,西成区,06-6651-3428,06-6651-2820,,http://swa.city-osaka.ed.jp/swas/index.php?id=e76175799,小学校,4908,17606,211,167
,,大阪市立弘治小学校,,,西成区,,,,,小学校,,17606,0,116
135.488144,34.64509383,大阪市立松之宮小学校,おおさかしりつまつのみやしょうがっこう,西成区旭3-5-39,西成区,06-6568-6381,06-6568-7709,,http://swa.city-osaka.ed.jp/swas/index.php?id=e761759,小学校,4907,17607,107,126
135.4923583,34.64812789,大阪市立長橋小学校,おおさかしりつながはししょうがっこう,西成区長橋2-3-21,西成区,06-6561-4692,,,http://swa.city-osaka.ed.jp/swas/index.php?id=e761760,小学校,4903,17608,172,213
135.4831078,34.65151689,大阪市立北津守小学校,おおさかしりつきたつもりしょうがっこう,西成区北津守3-3-40,西成区,06-6568-0415,06-6568-1595,,http://swa.city-osaka.ed.jp/swas/index.php?id=e761761,小学校,4914,17609,92,125
,,大阪市立津守小学校,,,西成区,,,,,小学校,,17609,0,82
135.4853857,34.62801892,大阪市立南津守小学校,おおさかしりつみなみつもりしょうがっこう,西成区南津守6-1-14,西成区,06-6659-3000,06-6659-2087,,http://swa.city-osaka.ed.jp/swas/index.php?id=e761763,小学校,4913,17610,509,505
135.498827,34.648302,大阪市立新今宮小学校,おおさかしりつしんいまみやしょうがっこう,西成区花園北1-8-32,西成区,06-6631-2711,06-6631-0486,,http://swa.city-osaka.ed.jp/swas/index.php?id=j762751,小学校,4905,17611,280,0
135.4913032,34.66247817,大阪市立難波中学校,おおさかしりつなんばちゅうがっこう,浪速区塩草1-1-59,浪速区,06-6562-4477～9,,,http://swa.city-osaka.ed.jp/swas/index.php?id=j612300,中学校,2589,26101,191,190
135.503547,34.65884981,大阪市立日本橋中学校,おおさかしりつにっぽんばしちゅうがっこう,浪速区日本橋西1-7-6,浪速区,06-6633-3751～2,,,http://swa.city-osaka.ed.jp/swas/index.php?id=j612301,中学校,2640,26102,174,182
135.4997498,34.65355017,大阪市立木津中学校,おおさかしりつきづちゅうがっこう,浪速区戎本町1-3-46,浪速区,06-6632-5765～6,,,http://swa.city-osaka.ed.jp/swas/index.php?id=j612302,中学校,2620,26103,146,155
135.4935811,34.63879406,大阪市立天下茶屋中学校,おおさかしりつてんがちゃやちゅうがっこう,西成区橘1-8-2,西成区,06-6651-6512,06-6651-2654,,http://swa.city-osaka.ed.jp/swas/index.php?id=j762750,中学校,4916,27601,301,336
135.4983531,34.64833297,大阪市立今宮中学校,おおさかしりついまみやちゅうがっこう,西成区花園北1-8-32,西成区,06-6631-2711,06-6631-0486,,http://swa.city-osaka.ed.jp/swas/index.php?id=j762751,中学校,4917,27602,170,149
135.4904219,34.63385311,大阪市立成南中学校,おおさかしりつせいなんちゅうがっこう,西成区千本中1-17-10,西成区,06-6651-4635,,,http://swa.city-osaka.ed.jp/swas/index.php?id=j762752,中学校,4918,27603,424,456
135.486331,34.64865589,大阪市立鶴見橋中学校,おおさかしりつつるみばしちゅうがっこう,西成区長橋3-9-23,西成区,06-6562-0001,06-6562-0470,,http://swa.city-osaka.ed.jp/swas/index.php?id=j762753,中学校,4919,27604,172,206
135.487667,34.62669981,大阪市立玉出中学校,おおさかしりつたまでちゅうがっこう,西成区玉出西1-15-37,西成区,06-6659-2761,06-6659-2103,,http://swa.city-osaka.ed.jp/swas/index.php?id=j762754,中学校,4920,27605,369,340
135.4878031,34.64254708,大阪市立梅南中学校,おおさかしりつばいなんちゅうがっこう,西成区梅南3-3-17,西成区,06-6568-4321,06-6658-4067,,http://swa.city-osaka.ed.jp/swas/index.php?id=j762756,中学校,4921,27606,198,249
